cycle,timestamp_ms,capture_us,detect_us,embed_us,match_us,publish_us,total_us
1,1779561817295,1143,35858,,,,37001
2,1779561817320,461,14115,,,,14576
3,1779561817345,505,15068,,,,15573
4,1779561817369,510,13308,,,,13818
5,1779561817393,429,12734,,,,13163
6,1779561817416,441,12732,,,,13173
7,1779561817440,513,13110,,,,13623
8,1779561817466,458,15086,,,,15544
9,1779561817489,476,12709,,,,13185
10,1779561817512,449,12627,,,,13076
11,1779561817536,454,13077,,,,13531
12,1779561817559,460,12923,,,,13383
13,1779561817584,1156,13222,,,,14378
14,1779561817609,513,14722,,,,15235
15,1779561817634,488,13931,,,,14419
16,1779561817657,464,12813,,,,13277
17,1779561817682,497,14585,,,,15082
18,1779561817708,529,14793,,,,15322
19,1779561817732,501,13655,,,,14156
20,1779561817756,467,12828,,,,13295
21,1779561817780,519,13678,,,,14197
22,1779561817804,515,13133,,,,13648
23,1779561817828,454,13169,,,,13623
24,1779561817851,463,12806,,,,13269
25,1779561817877,506,15155,,,,15661
26,1779561817901,485,13429,,,,13914
27,1779561817925,447,12789,,,,13236
28,1779561817949,510,14210,,,,14720
29,1779561817973,504,12808,,,,13312
30,1779561817997,465,12807,,,,13272
31,1779561818020,451,12777,,,,13228
32,1779561818044,518,13150,,,,13668
33,1779561818070,467,15420,,,,15887
34,1779561818093,494,12863,,,,13357
35,1779561818118,1573,12795,,,,14368
36,1779561818143,526,14888,,,,15414
37,1779561818168,506,14366,,,,14872
38,1779561818192,380,12776,,,,13156
39,1779561818215,454,12823,,,,13277
40,1779561818240,513,14236,,,,14749
41,1779561818264,374,13461,,,,13835
42,1779561818288,430,12879,,,,13309
43,1779561818313,512,14328,,,,14840
44,1779561818338,689,14366,,,,15055
45,1779561818362,508,13088,,,,13596
46,1779561818385,463,12963,,,,13426
47,1779561818411,506,14775,,,,15281
48,1779561818435,507,13749,,,,14256
49,1779561818458,457,12791,,,,13248
50,1779561818482,840,12780,,,,13620
51,1779561818508,498,15207,,,,15705
52,1779561818533,439,14733,,,,15172
53,1779561818557,510,13348,,,,13858
54,1779561818581,429,12791,,,,13220
55,1779561818606,508,14944,,,,15452
56,1779561818630,516,12847,,,,13363
57,1779561818654,1242,12995,,,,14237
58,1779561818678,503,13136,,,,13639
59,1779561818701,467,12850,,,,13317
60,1779561818727,483,14855,,,,15338
61,1779561818753,501,15192,,,,15693
62,1779561818778,484,14874,,,,15358
63,1779561818802,475,13301,,,,13776
64,1779561818826,460,12886,,,,13346
65,1779561818849,453,12762,,,,13215
66,1779561818873,522,13776,,,,14298
67,1779561818897,455,12762,,,,13217
68,1779561818920,461,12753,,,,13214
69,1779561818944,518,13104,,,,13622
70,1779561818969,485,14603,,,,15088
71,1779561818994,514,14117,,,,14631
72,1779561819020,397,15115,,,,15512
73,1779561819044,509,13655,,,,14164
74,1779561819070,457,15037,,,,15494
75,1779561819093,487,13038,,,,13525
76,1779561819118,504,14439,,,,14943
77,1779561819142,597,13172,,,,13769
78,1779561819166,534,12919,,,,13453
79,1779561819191,521,14272,,,,14793
80,1779561819215,634,13291,,,,13925
81,1779561819241,511,14748,,,,15259
82,1779561819264,511,13081,,,,13592
83,1779561819288,441,12808,,,,13249
84,1779561819313,516,14537,,,,15053
85,1779561819337,503,13057,,,,13560
86,1779561819360,453,12779,,,,13232
87,1779561819386,512,15219,,,,15731
88,1779561819411,488,14754,,,,15242
89,1779561819436,504,14562,,,,15066
90,1779561819462,443,14635,,,,15078
91,1779561819485,455,12831,,,,13286
92,1779561819511,513,15236,,,,15749
93,1779561819534,451,12777,,,,13228
94,1779561819558,491,12789,,,,13280
95,1779561819585,480,17016,,,,17496
96,1779561819613,503,17096,,,,17599
97,1779561819637,514,12983,,,,13497
98,1779561819660,464,12778,,,,13242
99,1779561819688,509,17141,,,,17650
100,1779561819715,475,16894,,,,17369
101,1779561819743,474,17113,,,,17587
102,1779561819767,514,13127,,,,13641
103,1779561819791,464,12783,,,,13247
104,1779561819818,544,16516,,,,17060
105,1779561819846,519,17674,,,,18193
106,1779561819870,463,13474,,,,13937
107,1779561819894,447,12826,,,,13273
108,1779561819921,541,16663,,,,17204
